id,nombre,apellido,nacionalidad
1,Fernando,Rapallini,Argentina
2,Facundo,Tello,Argentina
3,Andres,Matonte,Uruguay
4,Wilmar,Roldan,Colombia
5,Jesus,Valenzuela,Venezuela
6,Piero,Maza,Chile
7,Raphael,Claus,Brasil
8,Michael,Oliver,Inglaterra
9,Anthony,Taylor,Inglaterra
10,Daniele,Orsato,Italia
11,Szymon,Marciniak,Polonia
12,Clement,Turpin,Francia
13,Danny,Makkelie,Paises Bajos
14,Felix,Zwayer,Alemania
15,Antonio,Mateu Lahoz,Espana
16,Cesar,Ramos,Mexico
17,Ismail,Elfath,Estados Unidos
18,Abdulrahman,Al Jassim,Qatar
19,Alireza,Faghani,Iran
20,Yoshimi,Yamashita,Japon
