tipo,nombre,anioFundacion,puntos,golesAFavor,equipo,nombreCompleto,posicion,partidosJugados,goles,tarjetasAmarillas,tarjetasRojas,local,visitante,resultado
EQUIPO,Brasil,1914,6,8,,,,,,,,,,
EQUIPO,Portugal,1914,6,12,,,,,,,,,,
EQUIPO,Marruecos,1955,7,6,,,,,,,,,,
EQUIPO,Inglaterra,1863,7,13,,,,,,,,,,
EQUIPO,Espana,1913,4,9,,,,,,,,,,
EQUIPO,Alemania,1900,4,6,,,,,,,,,,
EQUIPO,Paises Bajos,1889,7,10,,,,,,,,,,
EQUIPO,Belgica,1895,4,5,,,,,,,,,,
EQUIPO,Uruguay,1900,4,4,,,,,,,,,,
EQUIPO,Japon,1921,6,5,,,,,,,,,,
JUGADOR,,,,,Brasil,Neymar Jr,Delantero,5,3,1,0,,,
JUGADOR,,,,,Brasil,Alisson Becker,Arquero,5,0,0,0,,,
JUGADOR,,,,,Brasil,Vinicius Junior,Delantero,5,4,0,0,,,
JUGADOR,,,,,Brasil,Marquinhos,Defensor,5,1,2,0,,,
JUGADOR,,,,,Portugal,Cristiano Ronaldo,Delantero,5,5,1,0,,,
JUGADOR,,,,,Portugal,Bruno Fernandes,Mediocampista,5,2,2,0,,,
JUGADOR,,,,,Portugal,Bernardo Silva,Mediocampista,5,1,0,0,,,
JUGADOR,,,,,Portugal,Diogo Costa,Arquero,5,0,0,0,,,
JUGADOR,,,,,Marruecos,Achraf Hakimi,Defensor,4,1,1,0,,,
JUGADOR,,,,,Marruecos,Yassine Bounou,Arquero,4,0,0,0,,,
JUGADOR,,,,,Marruecos,Sofyan Amrabat,Mediocampista,4,0,2,0,,,
JUGADOR,,,,,Inglaterra,Harry Kane,Delantero,5,6,0,0,,,
JUGADOR,,,,,Inglaterra,Jude Bellingham,Mediocampista,5,3,1,0,,,
JUGADOR,,,,,Inglaterra,Jordan Pickford,Arquero,5,0,0,0,,,
JUGADOR,,,,,Inglaterra,John Stones,Defensor,5,1,1,0,,,
JUGADOR,,,,,Espana,Pedri,Mediocampista,4,2,1,0,,,
JUGADOR,,,,,Espana,Lamine Yamal,Extremo,4,2,0,0,,,
JUGADOR,,,,,Alemania,Jamal Musiala,Mediapunta,4,3,0,0,,,
JUGADOR,,,,,Alemania,Manuel Neuer,Arquero,4,0,0,0,,,
JUGADOR,,,,,Paises Bajos,Cody Gakpo,Extremo,4,3,0,0,,,
JUGADOR,,,,,Paises Bajos,Virgil van Dijk,Defensor,4,1,1,0,,,
JUGADOR,,,,,Belgica,Kevin De Bruyne,Mediocampista,3,2,0,0,,,
JUGADOR,,,,,Belgica,Romelu Lukaku,Delantero,3,2,1,0,,,
JUGADOR,,,,,Uruguay,Federico Valverde,Mediocampista,3,1,1,0,,,
JUGADOR,,,,,Uruguay,Darwin Nunez,Delantero,3,2,1,0,,,
JUGADOR,,,,,Japon,Takefusa Kubo,Extremo,4,2,0,0,,,
JUGADOR,,,,,Japon,Wataru Endo,Mediocampista,4,1,2,0,,,
PARTIDO,,,,,,,,,,,,Brasil,Portugal,1-0
PARTIDO,,,,,,,,,,,,Inglaterra,Espana,2-1
PARTIDO,,,,,,,,,,,,Alemania,Japon,1-2
PARTIDO,,,,,,,,,,,,Paises Bajos,Belgica,2-0
PARTIDO,,,,,,,,,,,,Uruguay,Portugal,0-2
